sid,longitude,latitude,name,address,tel,wifi,notes
1,121.740089,25.132571,海景門市,200基隆市仁愛區港西街6之2號,02-2428-4223,Y,
2,121.51767,25.047029,新世界門市,100台北市中正區忠孝西路一段49號B1,02-2371-7092,,
3,121.509098,25.041583,寶平門市,100台北市中正區寶慶路32號,02-2331-0388,Y,
4,121.531439,25.017797,羅斯福門市,106台北市大安區羅斯福路三段301號,02-2364-6845,Y,
5,121.514167,25.046001,懷寧門市,100台北市中正區懷寧街10號,02-2389-3776,Y,
6,121.57694,25.062673,舊宗門市,114台北市內湖區舊宗路一段188號一樓,02-8792-8408,Y,
7,121.563588,25.041256,聯合門市,110台北市信義區忠孝東路四段561號1樓,02-2749-5657,Y,
8,121.548296,25.051753,環亞門市,105台北市松山區南京東路三段337號1F,02-8712-0625,Y,
9,121.566807,25.082169,環山門市,114台北市內湖區內湖路一段289號,02-2799-5897,N,
10,121.540795,25.06212,龍權門市,104台北市中山區民權東路三段22號,02-2517-9259,Y,
11,121.548336,25.041369,龍門門市,106台北市大安區忠孝東路四段134號,02-2740-6782,Y,
12,121.543721,25.03332,興南門市,106台北市大安區復興南路一段323號1樓,02-2325-9473,Y,
13,121.544467,25.053455,興北門市,105台北市松山區復興北路147號1、2F,02-2712-8189,Y,
14,121.557886,25.048184,德復門市,105台北市松山區八德路三段251號1~2F,2578-8732,Y,
15,121.507392,25.043915,漢中門市,108台北市萬華區漢中街51號1~3樓,02-2370-5893,Y,
16,121.546205,25.083801,實踐門市,104台北市中山區大直街70號1樓,02-2532-5223,Y,
17,121.553019,25.041263,鼎豐門市,106台北市大安區忠孝東路四段218號一樓,2773-7207,Y,
18,121.557309,24.999556,萬芳門市,116台北市文山區興隆路三段111號,02-2933-6950,Y,
19,121.569521,25.078441,瑞傳門市,114台北市內湖區瑞光路476號,02-8798-3266,Y,
20,121.572749,25.077284,瑞光門市,114台北市內湖區瑞光路356號,02-2659-3912,Y,
21,121.567366,25.035954,新光門市,110台北市信義區松壽路11號1樓,02-8789-4099,N,
22,121.527607,25.118405,新天母門市,111台北市士林區天母西路33號1樓,02-2876-9351,N,
23,121.547395,25.152201,陽明山門市,112台北市北投區湖山路一段14號之1 1樓,02-2861-0399,Y,
24,121.556934,25.042442,華視門市,106台北市大安區光復南路180巷14號,02-8771-9692,Y,
25,121.575919,25.075292,港墘門市,114台北市內湖區瑞光路216號,02-8753-5105,Y,
26,121.548955,25.031446,敦富門市,106台北市大安區敦化南路二段59號,02-2707-4198,Y,
27,121.549346,25.02866,敦南門市,106台北市大安區敦化南路二段101號1樓,02-2754-9460,Y,
28,121.549767,25.033202,敦信門市,106台北市大安區信義路四段149號1F,02-2702-2443,N,
29,121.549145,25.053772,敦化門市,105台北市松山區敦化北路147號1F,02-2718-2750,Y,
30,121.544858,25.042579,復安門市,106台北市大安區復興南路一段135巷9號,(02)2775-1187,N,
31,121.515617,25.04652,許昌門市,100台北市中正區忠孝西路一段50號,02-2389-9086,Y,
32,121.566678,25.046942,統豐門市,110台北市信義區東興路65號,02-2746-6635,Y,
33,121.565829,25.039202,統誠門市,110台北市信義區松高路11號,02-2723-2086,Y,
34,121.516847,25.046946,捷運門市,台北市中正區台北火車站4號出口上,02-2375-9066,N,
35,121.6117,25.0697,康寧門市,114台北市內湖區康寧路三段72號1F,02-2633-1621,Y,
36,121.54348,25.025364,興和門市,台北市大安區復興南路二段275號,227019918,Y,
37,121.544388,25.045204,微風門市及微廣門市,台北市大安區復興南路1段39號G樓,02-8772-2208,N,
38,121.517179,25.041332,常德門市,100台北市中正區常德街1號,02-2381-1771,N,
39,121.543228,25.041206,崇興門市,106台北市大安區忠孝東路三段300號B2F,02-8772-5940,N,
